feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34
-1.238734324676784,-1.8039852079983367,0.5381560489839619,-0.0213833026453474,-0.7646983,2.5310383611556326,-2.911162806623633,-0.068283754,0.38516307,0.1552055237935111,-0.72390708,-0.246027369677771,-1.3540056,0.11170595,-0.1308046685527008,-0.2540640792060289,-0.44805616,-0.6833000469686299,-0.6930374983670948,0.66808804,,0.0168138053792107,,-1.2094142,0.63709998,1.4356439,-0.395159,-0.38265581,0.45807874,0.8646260458137819,-1.2708796,0.34213367,0.8828809,1.0641549,-0.22674029
-0.2767794483891108,0.8160444265210512,-0.1854209307767237,-0.0719015801149576,0.39835687,1.6047080191378336,8.392133179260858,1.0599663,1.1006696,,-0.70431852,0.8942110011701088,-0.37401233,-1.2723575,0.3243582781962832,-0.4285826225465073,-1.0580173,0.2905844410819459,-0.5129704072105288,,0.70256688,-0.0564559167143514,-0.76935814,1.8148102,-1.6809329,-0.95599397,,0.14819913,0.33232638,0.1921598595404262,0.99127881,-0.60226076,-0.62794129,0.84586749,0.023818079
-0.0168397408502785,0.0845759590570899,-0.0541798449973375,-0.0168681567097915,-0.55523813,5.770455011440864,5.313584315528354,0.41852464,,0.1810472804288242,-1.9383979,1.9805260189679397,-0.40407348,1.0243855,0.3493124268905945,-0.4681584363266777,,-0.8273288676891793,-1.201327397528405,1.4798645,1.2030759,0.0201951628339206,-2.2966836,0.86797358,0.34166441,-0.13859874,0.3076747,0.04202814,0.54191365,1.205933619462291,-0.10011341,0.37527031,0.030876252,0.42827419,0.75043736
-0.5497442720918463,-0.6279534608941365,,0.0040440919530623,0.17787248,-4.505223600544636,2.3746671666663026,1.3520513,-0.086229482,-0.1229181927314249,1.4373643,1.940624101379981,1.0208247,0.58308988,-0.713560037046381,0.1565571877603026,0.44615876,1.0026183666713189,0.7757994955050533,-0.37138178,1.042198,0.0083113521336478,0.40093021,0.47934662,,-0.95599397,,-0.092455112,-1.6557586,,0.8424526,-0.69062515,-0.77654675,-0.1221897,
-3.7783339839092704,-0.4673479691625075,-0.0547190289983218,-0.1901226630382309,0.2495299,-4.383148909208388,-4.744213933782801,-1.0533548,0.16630224,-0.1281434390487864,1.0586521,-1.252348002705384,1.4597174,0.94414991,-0.0632458533336196,0.0323520529204732,,0.6197951841424512,0.5697868527714461,0.55919121,-0.88237832,0.0191115469662723,1.1348399,-1.2235461,1.0859348,0.98153545,-1.5881267,-0.028752519,-1.1108317,0.6592069971055013,-0.56147466,-0.094165513,0.19929577,0.11507922,-1.1120465
-1.7931060351444397,0.8926764961873614,-0.5653352800343692,-0.0074676784242675,2.4709102,-6.16269965127908,1.8178543354472412,,0.27573265,0.1267435411304183,0.40570002,-1.204113603717483,0.28733283,0.68338433,-0.4629890901175609,0.0688936281666114,1.5890957,1.9248291626429468,0.55349951615618,-2.4602211,-0.94792117,0.0346861664266825,1.5712186,0.79024819,0.20530954,,-0.54312399,,,0.0442131788990793,0.89702221,0.60722684,-0.44961474,0.23845906,-1.972297
,0.0974802191155539,-0.1735775127407759,-0.0664515014377374,0.62435337,-2.1721160201741743,1.1069513920596086,-0.18855406,-1.0374323,,0.62117421,-0.2391313496321553,1.6220476,-0.10894184,,-0.458038931305904,1.5298762,0.2540733641059381,-0.5977056064919298,0.93538029,-0.38782775,0.0242106687204892,2.2522338,0.40162123,-0.10148893,0.2610167,0.10422284,0.59411728,-0.014989682,1.3517564902907615,-0.090191661,,-0.70224402,-0.0083006159,-1.9806489
0.9303898384748236,-0.924888773279523,-0.4090724003389495,-0.1407467570118149,0.31567522,,1.8353145700287028,0.029077924,-0.6165461,0.3962069221896051,0.25552104,-0.5737836635026027,0.97873913,-0.48003131,-0.8669870199987794,-0.1472008208817607,-0.24670975,-0.4089386479368777,1.3419115813830915,-0.26248494,-0.28653426,0.0176533060280564,-0.47182721,0.27443423,-0.15830347,-1.6280745,-0.96852333,0.77106893,,,,-0.011323897,-0.068194055,-0.22658802,-0.9199518
-0.2002896899081086,-0.8432568343535032,-0.4828038838894158,0.1241594715415445,,-1.5516057650035069,10.803140452362207,,-0.51553341,0.245864426715024,-0.54761002,3.703594715751608,-0.21168216,-1.2322397,0.0744272777224074,,0.13229525,0.1775454545115123,2.2760569399538544,-0.25258523,,,-0.33959123,1.2424687,-1.3911788,-1.3616642,0.53887,,-1.0928671,-0.5490094666523022,2.1967711,0.12674546,-0.84589597,2.0511936,-1.6799789
-0.158825887067124,1.404291099060023,-0.5295504485883532,0.005998045678578,,-0.7522917313031775,-0.1958567733095682,-0.43482183,,0.0860634984850962,-0.40396056,0.8456637094383748,1.2733383,-0.048765168,-0.1739918899908648,-0.3376903298733715,-1.2830515,1.578562851462413,,0.36119695,0.84556946,0.0260945087148556,-0.46521541,-0.6936002,-1.3116385,-1.724951,-1.2274621,-1.7062541,0.11076268,0.493906802373796,1.0458484,-0.92810445,,-1.0048301,-0.95335958
