ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34
0,False,-1.238734325,-1.803985208,0.538156049,-0.021383303,-0.7646983,2.531038361,-2.911162807,-0.068283754,0.38516307,0.155205524,-0.72390708,-0.24602737,-1.3540056,0.11170595,-0.130804669,-0.254064079,-0.44805616,-0.683300047,-0.693037498,0.66808804,-0.39974463,0.016813805,-0.081731088,-1.2094142,0.63709998,1.4356439,-0.395159,-0.38265581,0.45807874,0.864626046,-1.2708796,0.34213367,0.8828809,1.0641549,-0.22674029
1,False,-0.276779448,0.816044427,-0.185420931,-0.07190158,0.39835687,1.604708019,8.392133179,1.0599663,1.1006696,-0.190295943,-0.70431852,0.894211001,-0.37401233,-1.2723575,0.324358278,-0.428582623,-1.0580173,0.290584441,-0.512970407,0.62848919,0.70256688,-0.056455917,-0.76935814,1.8148102,-1.6809329,-0.95599397,-0.58936305,0.14819913,0.33232638,0.19215986,0.99127881,-0.60226076,-0.62794129,0.84586749,0.023818079
2,False,-0.016839741,0.084575959,-0.054179845,-0.016868157,-0.55523813,5.770455011,5.313584316,0.41852464,-0.18724217,0.18104728,-1.9383979,1.980526019,-0.40407348,1.0243855,0.349312427,-0.468158436,-1.5732273,-0.827328868,-1.201327398,1.4798645,1.2030759,0.020195163,-2.2966836,0.86797358,0.34166441,-0.13859874,0.3076747,0.04202814,0.54191365,1.205933619,-0.10011341,0.37527031,0.030876252,0.42827419,0.75043736
3,True,-0.549744272,-0.627953461,-0.339859484,0.004044092,0.17787248,-4.505223601,2.374667167,1.3520513,-0.086229482,-0.122918193,1.4373643,1.940624101,1.0208247,0.58308988,-0.713560037,0.156557188,0.44615876,1.002618367,0.775799496,-0.37138178,1.042198,0.008311352,0.40093021,0.47934662,-0.8457593,-0.95599397,-1.4494095,-0.092455112,-1.6557586,0.574352015,0.8424526,-0.69062515,-0.77654675,-0.1221897,-1.3291971
4,False,-3.778333984,-0.467347969,-0.054719029,-0.190122663,0.2495299,-4.383148909,-4.744213934,-1.0533548,0.16630224,-0.128143439,1.0586521,-1.252348003,1.4597174,0.94414991,-0.063245853,0.032352053,1.7016128,0.619795184,0.569786853,0.55919121,-0.88237832,0.019111547,1.1348399,-1.2235461,1.0859348,0.98153545,-1.5881267,-0.028752519,-1.1108317,0.659206997,-0.56147466,-0.094165513,0.19929577,0.11507922,-1.1120465
5,True,-1.793106035,0.892676496,-0.56533528,-0.007467678,2.4709102,-6.162699651,1.817854335,0.48725053,0.27573265,0.126743541,0.40570002,-1.204113604,0.28733283,0.68338433,-0.46298909,0.068893628,1.5890957,1.924829163,0.553499516,-2.4602211,-0.94792117,0.034686166,1.5712186,0.79024819,0.20530954,-0.71380279,-0.54312399,-0.000440256,-1.1946666,0.044213179,0.89702221,0.60722684,-0.44961474,0.23845906,-1.972297
6,True,-0.549457466,0.097480219,-0.173577513,-0.066451501,0.62435337,-2.17211602,1.106951392,-0.18855406,-1.0374323,0.176829331,0.62117421,-0.23913135,1.6220476,-0.10894184,-0.249377604,-0.458038931,1.5298762,0.254073364,-0.597705606,0.93538029,-0.38782775,0.024210669,2.2522338,0.40162123,-0.10148893,0.2610167,0.10422284,0.59411728,-0.014989682,1.35175649,-0.090191661,-0.73480735,-0.70224402,-0.008300616,-1.9806489
7,False,0.930389838,-0.924888773,-0.4090724,-0.140746757,0.31567522,-0.85678693,1.83531457,0.029077924,-0.6165461,0.396206922,0.25552104,-0.573783664,0.97873913,-0.48003131,-0.86698702,-0.147200821,-0.24670975,-0.408938648,1.341911581,-0.26248494,-0.28653426,0.017653306,-0.47182721,0.27443423,-0.15830347,-1.6280745,-0.96852333,0.77106893,-0.66171613,-0.715017131,0.49023056,-0.011323897,-0.068194055,-0.22658802,-0.9199518
8,False,-0.20028969,-0.843256834,-0.482803884,0.124159472,1.6937027,-1.551605765,10.80314045,1.741498,-0.51553341,0.245864427,-0.54761002,3.703594716,-0.21168216,-1.2322397,0.074427278,-0.006937548,0.13229525,0.177545455,2.27605694,-0.25258523,2.4841406,0.004587648,-0.33959123,1.2424687,-1.3911788,-1.3616642,0.53887,-0.87812043,-1.0928671,-0.549009467,2.1967711,0.12674546,-0.84589597,2.0511936,-1.6799789
9,True,-0.158825887,1.404291099,-0.529550449,0.005998046,1.2306854,-0.752291731,-0.195856773,-0.43482183,0.96598603,0.086063498,-0.40396056,0.845663709,1.2733383,-0.048765168,-0.17399189,-0.33769033,-1.2830515,1.578562851,1.980272668,0.36119695,0.84556946,0.026094509,-0.46521541,-0.6936002,-1.3116385,-1.724951,-1.2274621,-1.7062541,0.11076268,0.493906802,1.0458484,-0.92810445,-0.63784832,-1.0048301,-0.95335958
